text,label
"Breaking: Government approves new education policy to help low-income students.","real"
"Scientists confirm water found on Mars in unprecedented quantities.","real"
"Celebrity endorses miracle cure that doctors don't want you to know.","fake"
"Local man wins lottery twice in one week without buying a ticket.","fake"
"Central bank reduces interest rates to boost economic growth.","real"
"Study shows eating chocolate three times a day cures all diseases.","fake"
"City council passes bill to improve public transport routes.","real"
"Aliens land in desert and announce partnership with tech startup.","fake"
"University announces scholarship program for underrepresented students.","real"
"Breaking: Drinking only air leads to immortality, experts say.","fake"
"New hospital wing opens to expand critical care capacity.","real"
"World Health Organization launches initiative to fight rare disease.","real"
"Politician claims Earth is flat and supported by peer-reviewed science.","fake"
"Tech company unveils smartphone that never needs charging and levitates.","fake"
"Farmers receive subsidies to adopt sustainable practices.","real"
"Doctor prescribes sunlight to cure blindness in new treatment.","fake"
"International summit agrees on measures to reduce emissions.","real"
"Government secretly replaces all currencies with chocolate coins.","fake"
"Research team publishes results on renewable energy efficiency gains.","real"
"Lake turns to lemonade overnight, residents cheer.","fake"
